Price,Address,Listing URL,Short Address,Zip,City,County,State,Beds,Baths,Footage,Raw Property Details,Price Per Sq. Ft.,Date Scraped,Latitude,Longitude,Broker Name,Status,Type,Lot Area,Lot Area Units,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Last Date Sold,Last Date Sold Price,Most Recent Date Listed for Sale,Most Recent Price Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Premium Status,Broker Phone (Premium Data),Listed By (Premium Data),Lister Phone (Premium Data),Agent Name (Premium Data),Agent Phone (Premium Data),Agent Email (Premium Data),Co-Agent Name (Premium Data),Co-Agent Phone (Premium Data),Buyer Agent Fee (Premium Data),Buyer Agent Name (Premium Data),Association Name (Premium Data),Association Fee (Premium Data),Monthly HOA Fees (Premium Data),Year Built (Premium Data),Stories (Premium Data),Heating (Premium Data),Cooling (Premium Data),Fireplace (Premium Data),Flooring (Premium Data),Foundation (Premium Data),Garage Capacity (Premium Data),Sewer (Premium Data),Subdivision (Premium Data),Property Condition (Premium Data),Roof Type (Premium Data),Virtual Tour (Premium Data),MLS Source (Premium Data),Parcel Id (Premium Data),Favorite Count (Premium Data),Page Views (Premium Data),Tax Paid (Most Recent) (Premium Data),Has Private Pool (Premium Data),Pool Features (Premium Data),Elementary School Rating (Premium Data),Middle School Rating (Premium Data),High School Rating (Premium Data),Transit Score (Premium Data),Walk Score (Premium Data),Bike Score (Premium Data),Description (Premium Data)
"$9,400","21 Emery Ln, Oakland, CA 94618","https://www.zillow.com/homedetails/21-Emery-Ln-Oakland-CA-94618/152852399_zpid/","21 Emery Ln","94618","Oakland","Alameda County","CA","5","4","2595","5 bds | 4 ba | 2595 sqft","$3.62","Tue, 2026-05-12","37.836735","-122.230705","","FOR_RENT","SINGLE_FAMILY","2595","sqft","","","","$7,948","$2,373,100","$2,184,594","","","$","Fri, 2017-09-29","$1,920,000","","","","15 hours","","Elite-tier data preview","628-209-6774","Craig Broscow (Listed by property owner)","(628) 209-6774","","","","","","","","","","","","","Forced Air","Central Air","","Carpet, Hardwood","","","","","","","","Zillow Rentals","48B715219","","","","","","9","","6","32","42","26","Beautiful 5 bed, 4 bath Mark Becker built home centrally located at the end of a cul-de-sac on the Piedmont/Oakland border in Rockridge walking distance to the Village Market, Hillcrest Elementary, St. Theresa, Transbay Bus, 2 min drive to Hwy 13 and 5 min to College Avenue/Rockridge BART. Available furnished, semi-furnished, or unfurnished. Two car attached garage (w/fold up ping pong table), dual air conditioning units. Large kitchen w/Thermador appliances. Outdoor deck with built in fire pit, mature landscaping, and patio furniture. Master bedroom has large walk-in closet and separate, smaller closet. Custom California closets throughout the house. Fenced in dog-run on outdoor patio. Pet friendly. Views of the Bay from the master bedroom. 

 $9400 month includes HOA fees, garbage, gardening. Please contact owners for viewing.

One year lease. Available furnished, semi-furnished, or unfurnished. Small pets allowed. Owner pays HOA fees, garbage and gardener. Tenant pays for other utilities.Show more"
"$8,500","20 Wyngaard Ave, Piedmont, CA 94611","https://www.zillow.com/homedetails/20-Wyngaard-Ave-Piedmont-CA-94611/24827733_zpid/","20 Wyngaard Ave","94611","Piedmont","Alameda County","CA","4","4","3370","4 bds | 4 ba | 3370 sqft","$2.52","Tue, 2026-05-12","37.815228","-122.21563","","FOR_RENT","SINGLE_FAMILY","3370","sqft","","","","$6,853","$3,004,700","$996,800","","","$","Tue, 1997-11-25","$624,500","","","","4","","Elite-tier data preview","510-984-9436","Discovery Investments Inc (Listed by management company)","(510) 984-9436","","510-984-9436","","","","","","","","","","","Fireplace","","Yes","Hardwood","","","","","","","https://youtu.be/U8cycnatHws","Zillow Rentals","514816233","","","","","","9","8","9","","57","28","We are pleased to present for lease a beautifully updated mid-century contemporary four bedroom and four bath ranch style residence, thoughtfully designed with timeless character and modern sophistication. A gracious entry leads to a sunlit living room featuring a classic fireplace, custom shutters, and French doors that open to the formal dining room. An adjacent modern kitchen appointed with quartz countertops, stainless steel appliances, and a breakfast nook with second fireplace. 

The main level includes a private ensuite bedroom, while a second spacious bedroom with generous closets is served by a sleek, updated hall bath. At the end of the hallway up a short flight of stairs leads to the expansive primary suite, complete with multiple closets and a spa-inspired bath featuring a rain shower, dual washbasins, and a dedicated seating area. The lower level adds flexibility with a comfortable family room, ample storage, and a fourth bedroom with its own bath.

Located moments neighborhood parks, Glenview's restaurant row, Montclair village and highway 13 and 580 freeway to the greater Bay Area, this home offers functionality in 3,370 square feet of living space. Additional features include:

Hardwood floors
Recessed lighting
Gas range
Microwave
Dishwasher
Laundry room
Washer and dryer
Utility sink 
Central heating 
Two car garage 
Built-ins
EV Charger

Welcome Home!

**Select images have been digitally enhanced using AI technology and feature AI-generated virtual staging to showcase possible furnishing arrangements. These images are for illustrative purposes only and do not represent the current condition or contents of the home.**

Lease Terms:
Minimum One Year Lease
Renter's Insurance Required
No Pets Allowed
No Smoking Allowed
Tenants Pay All Utilities 
Bay Alam equipped
 
Contact:
Marty Chan, Broker
DRE# 01400871
or Bonita Chinn
DRE# 01911108Show more"
"$6,800","168 Oak Rd, Piedmont, CA 94610","https://www.zillow.com/homedetails/168-Oak-Rd-Piedmont-CA-94610/24827063_zpid/","168 Oak Rd","94610","Piedmont","Alameda County","CA","5","3","2782","5 bds | 3 ba | 2782 sqft","$2.44","Tue, 2026-05-12","37.817284","-122.23165","","FOR_RENT","SINGLE_FAMILY","2782","sqft","","","","$6,427","$2,171,000","$368,547","","","$","","","","","","5","","Elite-tier data preview","510-756-2134","","","","510-756-2134","","","","","","","","","","","","","","Hardwood","","","","","","","https://www.youtube.com/watch?v=u7gcbggRf0A&feature=youtu.be","Zillow Rentals","51473715","","","","","","9","8","9","","50","28","We are proud to present for lease an exceptional five bedroom, two and a half bath residence in the heart of Piedmont, blending timeless architectural character with refined modern updates. Warm hardwood floors, rich wood detailing, charming built-ins, and inviting reading nooks create an elegant yet comfortable atmosphere throughout the home. Bathed in natural light, the spacious interiors offer the classic charm and craftsmanship synonymous with Piedmont living.

A gracious Spanish-inspired living room flows seamlessly into the formal dining room, creating an ideal setting for both everyday living and sophisticated entertaining. The thoughtfully updated kitchen features KitchenAid appliances, granite countertops, freshly painted cabinetry, a walk-in pantry, and a stainless steel refrigerator. Just off the kitchen, a versatile multi-purpose room offers flexibility for a family room, breakfast area, or home office, while a stylish powder room completes the main level.

Upstairs, five generously sized bedrooms provide comfort and versatility, including a spacious primary suite with a beautifully appointed bath featuring subway marble tile accents. Large closets throughout the home offer abundant storage, while the lower level includes laundry facilities, a second refrigerator, and additional storage space. This rare Piedmont offering combines warmth, scale, and timeless character in one of the East Bay's most sought-after neighborhoods.

Additional features include:
2 Car Attached Garage with Interior Access 
New Stainless Steel Refrigerator
Washer/Dryer & Dishwasher
Formal Dining Room
Convenient to Lakeshore and Grand Avenue
Grand Lake Farmer's Market Every Saturday, Safeway and Trader Joe's
Easy access to 580 Freeway and walking distance to public transit optons

Welcome Home!
Terms:
Lease Expires on June 30th of Each Year
Tenant Responsible for All Utilities
Gardener Included
Renter's Insurance Required
This is a Non-Smoking Home
Sorry, No Pets

Contact:
Marty Chan DRE# 01400871
or Bonita Chinn
DRE# 01911108Show more"
"$9,900","(undisclosed Address), Oakland, CA 94610","https://www.zillow.com/homedetails/Oakland-CA-94610/24746823_zpid/","(Undisclosed Address)","94610","Oakland","Alameda County","CA","4","3","2634","4 bds | 3 ba | 2634 sqft","$3.76","Tue, 2026-05-12","","","","FOR_RENT","SINGLE_FAMILY","2634","sqft","","","","$6,885","$2,102,900","$1,149,593","","","$","Thu, 2000-05-11","$748,000","","","","6","","Elite-tier data preview","","Ann (Listed by property owner)","","","","","","","","","","","","","","Fireplace","","Yes","Hardwood","","","","","","","","Zillow Rentals","","","","","","","9","8","4","44","33","34","Coveted Crocker Highlands 4 Bedroom Home for Rent

Available July 1, 2026 premium 4BR/3.5BA single-family home in highly desirable Crocker Highlands neighborhood of Oakland. 2,634 sq ft with original 1920 architecture and exceptional amenities.

This beautiful 2634 square foot Tuscan/Mediterranean inspired home is within walking distance to Crocker Elementary School - a nationally recognized Blue Ribbon Award school. The property is situated in a tree lined, family friendly street with wonderful neighbors.

The living room off of the entry brings in great natural lighting, with french doors that lead to the back yard. The formal dining room and cozy media room are adjacent to an open kitchen, which includes all stainless steel appliances. The kitchen doors open to a spacious backyard featuring an outdoor kitchen and pergola adorned with beautiful wisteria vines. The outdoor kitchen is complete with a built-in Dacor gas grill, sink, warming drawer and mini refrigerator. The first floor also includes a bedroom and bathroom with shower. The second floor includes a luxurious master suite with a spacious bathroom complete with double sinks, a wet room style shower and deep jacuzzi tub for two, two walk-in closets, and a deck. The second floor also includes a second bedroom with a large private deck, a third bedroom overlooking the manicured backyard, laundry room conveniently located near bedrooms, linen closet and a full bath. This home is perfect for entertaining with recessed speakers throughout the first floor of the home, including surround sound speakers in the media room.

Highlights:
- Solar panels reduce electricity costs significantly
- Monthly housekeeping service included (provided by landlord)
- Large private backyard with pergola and outdoor kitchen
- Two private balconies
- 3.5 bathrooms (above standard for 4BR vintage homes)
- 500+ sq ft above-ground basement storage with a second refrigerator
- 4-car private driveway
- Walking distance to Crocker Highlands Elementary (top-rated)
- Hardwood floors throughout
- High-end kitchen appliances including warming drawer, trash compactor, two refrigerators
- Monthly rent includes professional landscaping services and once per month professional housecleaning services.

This is a rare rental in a neighborhood of mostly owner-occupied homes. Easy access to Lakeshore Avenue restaurants and shopping, Lake Merritt, downtown Oakland, BART, and I-580.

Additional Amenities Include:
*Hardwood floors throughout
*Fireplace
*Low noise dishwasher
*Kitchen trash compactor
*French door refrigerator
*Built in microwave, oven and warming drawer
*Ample shelving and drawer spaces
*Laundry room with high efficiency front loading washer and dryer
*Coat closet near entry
*Cat 6 ethernet wiring throughout the house
*Unfinished 500+ sq ft above ground basement with windows, great storage space and room for a gym (in addition to 2,634 sq ft. on 1st and second floors)
*20 foot tall lemon tree and beautiful, mature landscaping
*Driveway easily supports four cars and there is plenty of street parking
*Minutes to Lakeshore and Grand Avenues, Grand Lake Theater Saturday Farmer's Market, Lake Merritt, Piedmont parks and business district, Montclair Village, 580 Freeway access

Welcome Home!

Please inquire to complete a pre-screen survey in order to schedule a tour of the property.

Terms:
- $9,900/month
- 12-month lease
- Security deposit: $14,850 (1.5 months' rent)
- Tenant pays water, trash, and PG&E
- Renter's insurance required ($1M minimum personal liability)
- Pets considered with $150/month pet rent (if approved) and pet deposit $3,000 (refundable)

Lease term: 12 months
Rent: $9,900/month
Refundable Security Deposit of 1.5x rent ($14,850)
Application: Application fee $50 (non-refundable) to cover credit check and employment verification
References required
Non-Smoking Home
Landlord provides professional housekeeping services once per month and landscaping services
Tenant pays for utilities: water (EBMUD), trash (Waste Management), gas and electricity true-up (PG&E billed by landlord, monthly true-up)
Renter's insurance required: Minimum $1,000,000 personal liability coverage
Cats and mature/trained dogs under 25 lbs are welcome
Refundable Pet Deposit $3000, monthly pet $150/monthShow more"
"$6,724","240 W Macarthur Blvd, 240 W Macarthur Blvd #610, Oakland, CA 94611","https://www.zillow.com/apartments/oakland-ca/240-w-macarthur-blvd/CgJ9FK/","240 W Macarthur Blvd","94611","Oakland","Alameda County","CA","3","3","2027","{""unit_1"":{""baths"":2,""beds"":2,""sqft"":1156,""maxPrice"":4023,""minPrice"":4023},""unit_2"":{""baths"":2,""beds"":2,""sqft"":1193,""maxPrice"":4200,""minPrice"":4200},""unit_3"":{""baths"":2.5,""beds"":3,""sqft"":2027,""maxPrice"":6724,""minPrice"":6724}}","$3.32","Tue, 2026-05-12","37.82395","-122.25697","","FOR_RENT","APARTMENT","","","","","","$4,577","","","","","$","","","","","","8","","Elite-tier data preview","","240 W Macarthur Blvd","(510) 780-3893","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","8","66","96","91","One Piedmont is a warm, inviting community with a state-of-the-art residential environment. We feature stunning common spaces with exquisite views, while also providing high-end security and access systems. In addition, our one, two, and three-bedroom apartments in Oakland, CA, have multiple lounges, a convenient, modern gym, private workspaces, secured parcel delivery, and a gated parking garage with secured mechanical parking. One Piedmont gives you everything you want AND everything you need and love for your new Home.

Amenities: central air-conditioning, keyless room entry, stylish kitchen with sleek appliances, high-end interior unit finishes, ceiling fan in the master bedroom, large walk-in closets, large windows, and great, spacious floor plans.

Pet Policy: Cats allowed, Dogs allowed"
"$4,023","240 W Macarthur Blvd, 240 W Macarthur Blvd #610, Oakland, CA 94611 - 402 - Unit 402","https://www.zillow.com/rental-manager/price-my-rental/results/240-w-macarthur-blvd_-oakland_-ca-94611/?unit=402","240 W Macarthur Blvd","94611","Oakland","Alameda County","CA",2,2,1156,"Deposits and Fees: 1000, Additional Information: 9' Ceiling Heights and 8' Entry Doors Balcony Bicycle storage Common Area Workspace with Private Rooms Full Outdoor Kitchen and Fireplaces Heating: Gas Keyless Community Entry with ButterflyMX System Keyless room entry Large Windows with Upgraded Roller Shades and Black Out Shades in the Bedrooms Luxurious Marble Shower Walls Quartz Countertops and Vanities Stainless Steel Gas Oven/Range Stainless Steel Mircowave Stunning Chef Inspired Open Kitchens with Gas Ranges Stunning Lobby Entrance with Reception Area TV Lounge Wide Open Chef Inspired Kitchens stylish kitchen with sleek appliances","$3.32","Tue, 2026-05-12","37.82395","-122.25697","","Available from Wed, 2026-04-29","Unit","","","Unit 402 - 402 - $4,023",4023,4023,"$4,577","","","","","$","","","","","","8","","Elite-tier data preview","","240 W Macarthur Blvd","(510) 780-3893","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","8","66","96","91","One Piedmont is a warm, inviting community with a state-of-the-art residential environment. We feature stunning common spaces with exquisite views, while also providing high-end security and access systems. In addition, our one, two, and three-bedroom apartments in Oakland, CA, have multiple lounges, a convenient, modern gym, private workspaces, secured parcel delivery, and a gated parking garage with secured mechanical parking. One Piedmont gives you everything you want AND everything you need and love for your new Home.

Amenities: central air-conditioning, keyless room entry, stylish kitchen with sleek appliances, high-end interior unit finishes, ceiling fan in the master bedroom, large walk-in closets, large windows, and great, spacious floor plans.

Pet Policy: Cats allowed, Dogs allowed"
"$4,200","240 W Macarthur Blvd, 240 W Macarthur Blvd #610, Oakland, CA 94611 - 304 - Unit 304","https://www.zillow.com/rental-manager/price-my-rental/results/240-w-macarthur-blvd_-oakland_-ca-94611/?unit=304","240 W Macarthur Blvd","94611","Oakland","Alameda County","CA",2,2,1193,"Deposits and Fees: 1000, Additional Information: 9' Ceiling Heights and 8' Entry Doors Balcony Bicycle storage Common Area Workspace with Private Rooms Full Outdoor Kitchen and Fireplaces Heating: Gas Keyless Community Entry with ButterflyMX System Keyless room entry Large Windows with Upgraded Roller Shades and Black Out Shades in the Bedrooms Luxurious Marble Shower Walls Quartz Countertops and Vanities Stainless Steel Gas Oven/Range Stainless Steel Mircowave Stunning Chef Inspired Open Kitchens with Gas Ranges Stunning Lobby Entrance with Reception Area TV Lounge Wide Open Chef Inspired Kitchens stylish kitchen with sleek appliances","$3.32","Tue, 2026-05-12","37.82395","-122.25697","","Available from Mon, 2026-07-13","Unit","","","Unit 304 - 304 - $4,200",4200,4200,"$4,577","","","","","$","","","","","","8","","Elite-tier data preview","","240 W Macarthur Blvd","(510) 780-3893","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","8","66","96","91","One Piedmont is a warm, inviting community with a state-of-the-art residential environment. We feature stunning common spaces with exquisite views, while also providing high-end security and access systems. In addition, our one, two, and three-bedroom apartments in Oakland, CA, have multiple lounges, a convenient, modern gym, private workspaces, secured parcel delivery, and a gated parking garage with secured mechanical parking. One Piedmont gives you everything you want AND everything you need and love for your new Home.

Amenities: central air-conditioning, keyless room entry, stylish kitchen with sleek appliances, high-end interior unit finishes, ceiling fan in the master bedroom, large walk-in closets, large windows, and great, spacious floor plans.

Pet Policy: Cats allowed, Dogs allowed"
"$6,724","240 W Macarthur Blvd, 240 W Macarthur Blvd #610, Oakland, CA 94611 - 610 - Unit 610","https://www.zillow.com/rental-manager/price-my-rental/results/240-w-macarthur-blvd_-oakland_-ca-94611/?unit=610","240 W Macarthur Blvd","94611","Oakland","Alameda County","CA",3,2.5,2027,"Deposits and Fees: 1000, Additional Information: 9' Ceiling Heights and 8' Entry Doors Balcony Bicycle storage Common Area Workspace with Private Rooms Full Outdoor Kitchen and Fireplaces Heating: Gas Keyless Community Entry with ButterflyMX System Keyless room entry Large Windows with Upgraded Roller Shades and Black Out Shades in the Bedrooms Luxurious Marble Shower Walls Quartz Countertops and Vanities Stainless Steel Gas Oven/Range Stainless Steel Mircowave Stunning Chef Inspired Open Kitchens with Gas Ranges Stunning Lobby Entrance with Reception Area TV Lounge Wide Open Chef Inspired Kitchens stylish kitchen with sleek appliances","$3.32","Tue, 2026-05-12","37.82395","-122.25697","","Available from Tue, 2026-05-19","Unit","","","Unit 610 - 610 - $6,724",6724,6724,"$4,577","","","","","$","","","","","","8","","Elite-tier data preview","","240 W Macarthur Blvd","(510) 780-3893","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5","2","8","66","96","91","One Piedmont is a warm, inviting community with a state-of-the-art residential environment. We feature stunning common spaces with exquisite views, while also providing high-end security and access systems. In addition, our one, two, and three-bedroom apartments in Oakland, CA, have multiple lounges, a convenient, modern gym, private workspaces, secured parcel delivery, and a gated parking garage with secured mechanical parking. One Piedmont gives you everything you want AND everything you need and love for your new Home.

Amenities: central air-conditioning, keyless room entry, stylish kitchen with sleek appliances, high-end interior unit finishes, ceiling fan in the master bedroom, large walk-in closets, large windows, and great, spacious floor plans.

Pet Policy: Cats allowed, Dogs allowed"
"$10,995","987 Sunnyhills Rd, Oakland, CA 94610","https://www.zillow.com/homedetails/987-Sunnyhills-Rd-Oakland-CA-94610/24747201_zpid/","987 Sunnyhills Rd","94610","Oakland","","CA","5","5","3230","5 bds | 5 ba | 3230 sqft","$3.4","Tue, 2026-05-12","37.80918","-122.23088","","FOR_RENT","SINGLE_FAMILY","","","","","","$7,944","$2,564,200","","Wed, 2026-04-29","-1,200","$","","","","","","40","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"$5,095","Mariposa, 612 Mariposa Ave #401, Oakland, CA 94610","https://www.zillow.com/apartments/oakland-ca/mariposa/CjjCSZ/","612 Mariposa Ave #401","94610","Oakland","","CA","3","2","1622","3 bds | 2 ba | 1622 sqft","$3.14","Tue, 2026-05-12","37.819893","-122.24961","","FOR_RENT","APARTMENT","","","","","","$4,625","","","Wed, 2026-04-29","-400","$","","","","","","76","","Elite-tier locked — upgrade to unlock","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
